NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,부산광역시 부산진구 양정동,07월 08일,7,8,일신스카이빌,84.99,202403,20,"19,000",-,8,개인,개인,2003,연수로 64,-,중개거래,부산 부산진구,24.03.22
2,부산광역시 부산진구 양정동,07월 09일,7,9,아세만화니트,84.965,202309,9,"25,000",A동,12,-,-,2003,연수로 62,-,중개거래,부산 부산진구 부산 연제구,23.09.25
3,부산광역시 부산진구 양정동,07월 09일,7,9,아세만화니트,84.965,202310,4,"26,500",A동,8,-,-,2003,연수로 62,-,직거래,-,23.10.05
4,부산광역시 부산진구 양정동,Apr-86,86,4,화성빌라트,93.36,202310,6,"26,930",-,10,-,-,2001,진남로 601,-,중개거래,부산 부산진구,23.11.22
5,부산광역시 부산진구 양정동,96-24,96,24,크레빌,24.55,202310,5,"4,000",-,5,-,-,2001,양정로6번길 6,-,직거래,-,23.10.05
6,부산광역시 부산진구 양정동,109-9,109,9,양정센텀,69.53,202311,22,"18,300",1,14,-,-,2015,연수로 57,-,중개거래,부산 부산진구,24.01.03
7,부산광역시 부산진구 양정동,109-9,109,9,양정센텀,84.87,202309,11,"21,500",1,15,-,-,2015,연수로 57,-,중개거래,부산 부산진구,23.12.11
8,부산광역시 부산진구 양정동,109-9,109,9,양정센텀,84.87,202311,28,"20,800",1,3,-,-,2015,연수로 57,-,중개거래,부산 부산진구,23.12.27
9,부산광역시 부산진구 양정동,109-9,109,9,양정센텀,84.87,202305,23,"17,000",1,4,-,-,2015,연수로 57,-,직거래,-,23.05.23
10,부산광역시 부산진구 양정동,109-9,109,9,양정센텀,84.97,202311,4,"24,000",1,5,-,-,2015,연수로 57,-,중개거래,부산 부산진구,23.12.19
11,부산광역시 부산진구 양정동,109-9,109,9,양정센텀,83.96,202306,26,"21,500",1,6,-,-,2015,연수로 57,-,중개거래,부산 부산진구,23.07.07
12,부산광역시 부산진구 양정동,109-9,109,9,양정센텀,83.96,202403,2,"23,500",-,8,개인,개인,2015,연수로 57,-,중개거래,부산 부산진구,-
13,부산광역시 부산진구 양정동,141-5,141,5,다사랑빌,49.78,202401,20,"18,700",-,7,개인,개인,2016,중앙대로980번길 33,-,중개거래,부산 부산진구,24.02.27
14,부산광역시 부산진구 양정동,145-12,145,12,전원타워빌,84.87,202403,5,"24,300",-,11,개인,개인,2001,연수로11번길 57,-,중개거래,부산 부산진구,-
15,부산광역시 부산진구 양정동,147-5,147,5,동국에버리치,48.77,202304,26,"14,500",-,5,-,-,2015,연수로11번길 79,-,중개거래,부산 부산진구,23.06.22
16,부산광역시 부산진구 양정동,147-5,147,5,동국에버리치,48.77,202312,21,"14,000",-,9,-,-,2015,연수로11번길 79,-,중개거래,부산 부산진구,24.01.19
17,부산광역시 부산진구 양정동,213-3,213,3,양정해광빌리지,39.3,202310,18,"11,000",-,8,-,-,2012,중앙대로969번길 12-12,-,중개거래,부산 부산진구,23.11.08
18,부산광역시 부산진구 양정동,236-2,236,2,산들파르테,49.97,202306,16,"17,700",-,3,-,-,2014,중앙대로989번길 28,-,중개거래,부산 부산진구,23.07.03
19,부산광역시 부산진구 양정동,270-3,270,3,엘리시아,84.99,202309,23,"21,500",1,6,-,-,2007,중앙대로 966,-,중개거래,부산 부산진구,23.12.15
20,부산광역시 부산진구 양정동,270-5,270,5,포세이돈,46.19,202304,18,"15,800",-,7,-,-,2016,연수로11번길 43,20230426,중개거래,부산 부산진구 부산 연제구,-
21,부산광역시 부산진구 양정동,270-5,270,5,포세이돈,46.19,202304,18,"15,800",-,7,-,-,2016,연수로11번길 43,-,중개거래,부산 부산진구 부산 연제구,23.05.26
22,부산광역시 부산진구 양정동,270-5,270,5,포세이돈,46.19,202312,1,"16,600",-,9,-,-,2016,연수로11번길 43,-,중개거래,부산 부산진구,23.12.15
23,부산광역시 부산진구 양정동,270-5,270,5,포세이돈,46.22,202308,12,"17,500",-,11,-,-,2016,연수로11번길 43,-,중개거래,부산 부산진구,23.10.05
24,부산광역시 부산진구 양정동,271-9,271,9,양정퀸즈더블유에디션,49.8935,202401,24,"20,200",-,2,개인,개인,2019,연수로 37,-,중개거래,부산 부산진구,24.03.04
25,부산광역시 부산진구 양정동,271-9,271,9,양정퀸즈더블유에디션,49.5952,202403,9,"21,500",-,14,개인,개인,2019,연수로 37,-,중개거래,부산 부산진구,-
